[2025-05-16 15:30:04,809] Forwarding module: linear module105, using bit[105] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module106, using bit[106] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module107, using bit[107] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module108, using bit[108] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module109, using bit[109] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module110, using bit[110] = 4.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module111, using bit[111] = 4.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module112, using bit[112] = 4.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module113, using bit[113] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module114, using bit[114] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module115, using bit[115] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module116, using bit[116] = 4.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module117, using bit[117] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module118, using bit[118] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module119, using bit[119] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module120, using bit[120] = 4.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module121, using bit[121] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module122, using bit[122] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module123, using bit[123] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module124, using bit[124] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module125, using bit[125] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module126, using bit[126] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module127, using bit[127] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module128, using bit[128] = 4.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module129, using bit[129] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module130, using bit[130] = 4.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module131, using bit[131] = 4.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module132, using bit[132] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module133, using bit[133] = 4.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module134, using bit[134] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module135, using bit[135] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module136, using bit[136] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module137, using bit[137] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module138, using bit[138] = 4.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module139, using bit[139] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module140, using bit[140] = 4.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module141, using bit[141] = 3.0000
[2025-05-16 15:30:04,810] Forwarding module: linear module142, using bit[142] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module143, using bit[143] = 3.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module144, using bit[144] = 3.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module145, using bit[145] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module146, using bit[146] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module147, using bit[147] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module148, using bit[148] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module149, using bit[149] = 3.0000
